"id",perc_math_adequate,"name"
"I",17.9,"REGIÓN DE TARAPACÁ"
"II",18.7,"REGIÓN DE ANTOFAGASTA"
"III",13.3,"REGIÓN DE ATACAMA"
"IV",20.4,"REGIÓN DE COQUIMBO"
"V",21.3,"REGIÓN DE VALPARAÍSO"
"VI",19.1,"REGIÓN DEL LIBERTADOR GENERAL BERNARDO O'HIGGINS"
"VII",19.9,"REGIÓN DEL MAULE"
"VIII",18.8,"REGIÓN DEL BIOBÍO"
"IX",13.8,"REGIÓN DE LA ARAUCANÍA"
"X",16.2,"REGIÓN DE LOS LAGOS"
"XI",19.5,"REGIÓN DE AISÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO"
"XII",16.4,"REGIÓN DE MAGALLANES Y DE LA ANTÁRTICA CHILENA"
"RM",25.3,"REGIÓN METROPOLITANA"
"XIV",16,"REGIÓN DE LOS RÍOS"
<<<<<<< HEAD
"XV",18.8,"REGIÓN ARICA - PARINACOTA"
=======
"XV",18.8,"REGIÓN ARICA - PARINACOTA"
>>>>>>> 3a9c99de64bd439d23304da39275f1162e798514
